Player,Pos,Squad,Comp,Age,MP,Starts,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Ast_stats_passing,xAG_stats_passing,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,FK_stats_passing_types,Cmp_stats_passing_types,Blocks,PassLive,PassDead,Tkl,TklW,Tkl%,Blocks_stats_defense,Pass,Int,Tkl+Int,Clr,Tkld,Tkld%,Int_stats_misc,TklW_stats_misc
Martin Frese,DF,Hellas Verona,it Serie A,26.0,11,5,937,dk DEN,DF,it Serie A,26.0,1998.0,6.1,0,0.2,19,937,dk DEN,DF,it Serie A,26.0,1998.0,6.1,256,3,182,3,5,3,18,11,53.8,5,4,8,26,16,0,0.0,8,11
Marco Friedl,DF,Werder Bremen,de Bundesliga,26.0,26,25,939,at AUT,DF,de Bundesliga,26.0,1998.0,24.0,0,0.2,69,939,at AUT,DF,de Bundesliga,26.0,1998.0,24.0,1468,57,1324,6,9,2,62,42,57.6,41,17,34,96,130,2,25.0,34,42
Marvin Friedrich,DF,Gladbach,de Bundesliga,28.0,22,9,940,de GER,DF,de Bundesliga,28.0,1995.0,11.0,1,0.6,36,940,de GER,DF,de Bundesliga,28.0,1995.0,11.0,706,10,624,6,8,0,15,9,56.3,16,4,5,20,57,0,0.0,5,9
Jeremie Frimpong,"DF,MF",Leverkusen,de Bundesliga,23.0,33,25,941,nl NED,"DF,MF",de Bundesliga,23.0,2000.0,25.7,5,4.2,55,941,nl NED,"DF,MF",de Bundesliga,23.0,2000.0,25.7,940,2,715,29,53,0,33,25,55.2,25,25,8,41,22,47,60.3,8,25
Darío Fuentes,DF,Sevilla,es La Liga,21.0,1,0,943,es ESP,DF,es La Liga,21.0,2003.0,0.1,0,0.0,0,943,es ESP,DF,es La Liga,21.0,2003.0,0.1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0
Matteo Gabbia,DF,Milan,it Serie A,24.0,26,24,950,it ITA,DF,it Serie A,24.0,1999.0,23.9,0,0.2,74,950,it ITA,DF,it Serie A,24.0,1999.0,23.9,1443,35,1316,6,16,3,21,15,80.0,25,6,15,36,103,0,0.0,15,15
Tiago Gabriel,DF,Lecce,it Serie A,19.0,2,0,952,pt POR,DF,it Serie A,19.0,2004.0,1.1,0,0.0,1,952,pt POR,DF,it Serie A,19.0,2004.0,1.1,40,1,35,2,1,0,0,0,,4,2,0,0,11,0,,0,0
Roberto Gagliardini,"MF,DF",Monza,it Serie A,30.0,8,0,955,it ITA,"MF,DF",it Serie A,30.0,1994.0,2.0,0,0.2,11,955,it ITA,"MF,DF",it Serie A,30.0,1994.0,2.0,124,6,107,2,2,1,3,2,25.0,1,1,2,5,4,1,50.0,2,2
Javi Galán,DF,Atlético Madrid,es La Liga,29.0,25,21,957,es ESP,DF,es La Liga,29.0,1994.0,19.8,3,3.9,54,957,es ESP,DF,es La Liga,29.0,1994.0,19.8,1028,19,852,24,30,1,51,31,51.0,13,10,12,63,47,38,48.7,12,31
Antonino Gallo,DF,Lecce,it Serie A,24.0,31,31,960,it ITA,DF,it Serie A,24.0,2000.0,29.0,2,2.7,107,960,it ITA,DF,it Serie A,24.0,2000.0,29.0,1241,22,822,32,56,14,65,42,54.8,33,27,20,85,133,11,37.9,20,42
Cristian Gamboa,DF,Bochum,de Bundesliga,34.0,12,1,962,cr CRC,DF,de Bundesliga,34.0,1989.0,2.5,0,0.2,5,962,cr CRC,DF,de Bundesliga,34.0,1989.0,2.5,124,2,75,3,4,0,8,3,33.3,2,2,2,10,8,2,100.0,2,3
Facundo Garcés,DF,Alavés,es La Liga,24.0,10,7,966,my MAS,DF,es La Liga,24.0,1999.0,7.5,0,0.8,12,966,my MAS,DF,es La Liga,24.0,1999.0,7.5,197,11,150,2,1,0,6,2,60.0,8,2,5,11,51,0,,5,2
Andrés García,"DF,MF",Aston Villa,eng Premier League,21.0,7,5,969,es ESP,"DF,MF",eng Premier League,21.0,2003.0,3.5,0,0.2,15,969,es ESP,"DF,MF",eng Premier League,21.0,2003.0,3.5,201,0,174,5,3,0,9,5,50.0,2,2,2,11,10,12,66.7,2,5
Eric García,"DF,MF",Barcelona,es La Liga,23.0,29,14,970,es ESP,"DF,MF",es La Liga,23.0,2001.0,17.4,3,0.8,109,970,es ESP,"DF,MF",es La Liga,23.0,2001.0,17.4,1340,24,1234,12,29,0,38,21,69.0,24,16,14,52,41,5,41.7,14,21
Fran Garcia,DF,Real Madrid,es La Liga,24.0,31,24,971,es ESP,DF,es La Liga,24.0,1999.0,24.1,2,1.8,119,971,es ESP,DF,es La Liga,24.0,1999.0,24.1,1551,30,1344,38,50,0,51,36,54.9,27,22,28,79,67,15,65.2,28,36
Gonzalo García,"FW,DF",Real Madrid,es La Liga,20.0,3,0,972,es ESP,"FW,DF",es La Liga,20.0,2004.0,0.6,1,1.0,0,972,es ESP,"FW,DF",es La Liga,20.0,2004.0,0.6,20,0,19,0,2,0,0,0,,1,1,0,0,0,0,,0,0
