,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
701,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30.0,18,18,1620,18.0,100.0,35.0,fr FRA,GK,fr Ligue 1,30.0,1994.0,18.0,18.0,1620.0,18.0,38.0,2.11,93.0,54.0,61.3,5.0,0.0,13.0,3.0,16.7,3.0,2.0,1.0,0.0,35.0,fr FRA,GK,fr Ligue 1,30.0,1994.0,18.0,38.0,2.0,1.0,4.0,0.0,38.7,0.4,0.7,0.04,56.0,151.0,37.1,404.0,72.0,28.5,30.9,277.0,12.0,4.3,7.0,0.39,11.9
704,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27.0,33,33,2970,33.0,87.5,36.0,it ITA,GK,it Serie A,27.0,1997.0,33.0,33.0,2970.0,33.0,32.0,0.97,103.0,71.0,73.8,16.0,13.0,4.0,14.0,42.4,5.0,5.0,0.0,0.0,36.0,it ITA,GK,it Serie A,27.0,1997.0,33.0,32.0,5.0,0.0,6.0,0.0,28.1,0.24,-3.9,-0.12,128.0,333.0,38.4,848.0,126.0,30.0,31.4,469.0,29.0,6.2,30.0,0.91,13.1
743,Yehvann Diouf,sn SEN,GK,Reims,fr Ligue 1,24.0,34,34,3060,34.0,100.0,38.0,sn SEN,GK,fr Ligue 1,24.0,1999.0,34.0,34.0,3060.0,34.0,47.0,1.38,179.0,131.0,76.0,8.0,9.0,17.0,7.0,20.6,5.0,4.0,1.0,0.0,38.0,sn SEN,GK,fr Ligue 1,24.0,1999.0,34.0,47.0,4.0,1.0,8.0,0.0,61.6,0.33,14.6,0.43,154.0,477.0,32.3,993.0,153.0,34.4,33.3,554.0,31.0,5.6,42.0,1.24,14.6
752,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,32.0,32,32,2880,32.0,100.0,39.0,rs SRB,GK,es La Liga,32.0,1992.0,32.0,32.0,2880.0,32.0,49.0,1.53,150.0,103.0,72.0,8.0,11.0,13.0,10.0,31.3,8.0,7.0,0.0,1.0,39.0,rs SRB,GK,es La Liga,32.0,1992.0,32.0,49.0,7.0,1.0,9.0,2.0,50.2,0.3,3.2,0.1,201.0,765.0,26.3,743.0,112.0,65.3,47.2,579.0,49.0,8.5,53.0,1.66,14.5
765,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25.0,24,24,2091,23.2,100.0,41.0,it ITA,GK,fr Ligue 1,25.0,1999.0,24.0,24.0,2091.0,23.2,25.0,1.08,74.0,49.0,67.6,18.0,5.0,1.0,4.0,16.7,1.0,1.0,0.0,0.0,41.0,it ITA,GK,fr Ligue 1,25.0,1999.0,23.2,25.0,1.0,1.0,4.0,0.0,21.7,0.29,-3.3,-0.14,35.0,101.0,34.7,543.0,90.0,13.6,25.1,199.0,10.0,5.0,19.0,0.82,14.4
788,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31.0,21,21,1890,21.0,100.0,42.0,de GER,GK,de Bundesliga,31.0,1993.0,21.0,21.0,1890.0,21.0,46.0,2.19,99.0,51.0,56.6,2.0,5.0,14.0,2.0,9.5,5.0,3.0,2.0,0.0,42.0,de GER,GK,de Bundesliga,31.0,1993.0,21.0,46.0,3.0,2.0,4.0,0.0,42.3,0.38,-3.7,-0.18,218.0,484.0,45.0,681.0,65.0,50.1,37.6,285.0,12.0,4.2,33.0,1.57,15.8
791,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35.0,10,10,900,10.0,100.0,43.0,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,10.0,900.0,10.0,12.0,1.2,41.0,29.0,70.7,7.0,0.0,3.0,5.0,50.0,0.0,0.0,0.0,0.0,43.0,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,12.0,0.0,0.0,1.0,0.0,12.9,0.32,0.9,0.09,18.0,80.0,22.5,273.0,54.0,15.8,25.2,127.0,10.0,7.9,11.0,1.1,15.3
810,Ederson,br BRA,GK,Manchester City,eng Premier League,30.0,26,26,2320,25.8,80.0,44.0,br BRA,GK,eng Premier League,30.0,1993.0,26.0,26.0,2320.0,25.8,26.0,1.01,78.0,53.0,69.2,16.0,4.0,6.0,10.0,38.5,2.0,2.0,0.0,0.0,44.0,br BRA,GK,eng Premier League,30.0,1993.0,25.8,26.0,2.0,0.0,3.0,1.0,30.0,0.37,5.0,0.19,72.0,165.0,43.6,846.0,108.0,17.4,27.9,224.0,13.0,5.8,49.0,1.9,17.5
868,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39.0,14,13,1160,12.9,75.0,45.0,pl POL,GK,eng Premier League,39.0,1985.0,14.0,13.0,1160.0,12.9,21.0,1.63,71.0,50.0,74.6,6.0,3.0,4.0,2.0,15.4,3.0,3.0,0.0,0.0,45.0,pl POL,GK,eng Premier League,39.0,1985.0,12.9,21.0,3.0,1.0,3.0,0.0,22.6,0.29,1.6,0.12,77.0,226.0,34.1,394.0,55.0,41.9,35.5,220.0,10.0,4.5,12.0,0.93,13.1
874,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29.0,38,38,3420,38.0,100.0,46.0,it ITA,GK,it Serie A,29.0,1995.0,38.0,38.0,3420.0,38.0,58.0,1.53,181.0,125.0,72.4,8.0,10.0,20.0,9.0,23.7,10.0,8.0,1.0,1.0,46.0,it ITA,GK,it Serie A,29.0,1995.0,38.0,58.0,8.0,3.0,5.0,3.0,53.8,0.26,-1.2,-0.03,220.0,656.0,33.5,1017.0,120.0,51.9,39.1,590.0,29.0,4.9,19.0,0.5,11.0
895,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26.0,9,8,747,8.3,100.0,49.0,es ESP,GK,es La Liga,26.0,1998.0,9.0,8.0,747.0,8.3,16.0,1.93,36.0,20.0,61.1,2.0,1.0,5.0,3.0,37.5,2.0,2.0,0.0,0.0,49.0,es ESP,GK,es La Liga,26.0,1998.0,8.3,16.0,2.0,0.0,1.0,0.0,11.0,0.25,-5.0,-0.61,37.0,142.0,26.1,277.0,32.0,39.7,34.3,105.0,7.0,6.7,14.0,1.69,16.5
901,André Ferreira,pt POR,GK,Valladolid,es La Liga,28.0,6,6,540,6.0,0.0,50.0,pt POR,GK,es La Liga,28.0,1996.0,6.0,6.0,540.0,6.0,20.0,3.33,39.0,19.0,56.4,0.0,0.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,50.0,pt POR,GK,es La Liga,28.0,1996.0,6.0,20.0,3.0,0.0,1.0,0.0,15.3,0.35,-4.7,-0.79,30.0,83.0,36.1,138.0,26.0,37.0,33.8,92.0,4.0,4.3,3.0,0.5,10.4
