,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
2421,Marco Silvestri,it ITA,GK,Empoli,it Serie A,33.0,5,5,450,5.0,100.0,175.0,it ITA,GK,it Serie A,33.0,1991.0,5.0,5.0,450.0,5.0,11.0,2.2,27.0,17.0,59.3,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,it ITA,GK,it Serie A,33.0,1991.0,5.0,11.0,0.0,0.0,3.0,1.0,8.0,0.32,-2.0,-0.41,35.0,85.0,41.2,135.0,16.0,60.7,41.8,62.0,1.0,1.6,4.0,0.8,12.6
2427,Unai Simón,es ESP,GK,Athletic Club,es La Liga,27.0,21,21,1890,21.0,100.0,176.0,es ESP,GK,es La Liga,27.0,1997.0,21.0,21.0,1890.0,21.0,14.0,0.67,62.0,47.0,79.0,10.0,8.0,3.0,10.0,47.6,2.0,1.0,1.0,0.0,176.0,es ESP,GK,es La Liga,27.0,1997.0,21.0,14.0,1.0,0.0,2.0,0.0,16.3,0.24,2.3,0.11,106.0,284.0,37.3,533.0,91.0,36.2,34.4,249.0,19.0,7.6,28.0,1.33,15.5
2441,Antonio Sivera,es ESP,GK,Alavés,es La Liga,27.0,32,32,2810,31.2,83.3,178.0,es ESP,GK,es La Liga,27.0,1996.0,32.0,32.0,2810.0,31.2,39.0,1.25,112.0,75.0,73.2,9.0,10.0,13.0,8.0,25.0,9.0,9.0,0.0,0.0,178.0,es ESP,GK,es La Liga,27.0,1996.0,31.2,39.0,9.0,2.0,2.0,2.0,39.0,0.28,2.0,0.06,297.0,724.0,41.0,735.0,70.0,71.8,47.7,453.0,30.0,6.6,29.0,0.93,12.7
2447,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33.0,27,27,2364,26.3,66.7,179.0,pl POL,GK,it Serie A,33.0,1991.0,27.0,27.0,2364.0,26.3,33.0,1.26,82.0,50.0,61.0,11.0,12.0,4.0,8.0,29.6,2.0,1.0,1.0,0.0,179.0,pl POL,GK,it Serie A,33.0,1991.0,26.3,33.0,1.0,0.0,1.0,2.0,28.7,0.34,-2.3,-0.09,123.0,329.0,37.4,1005.0,113.0,27.9,31.6,215.0,18.0,8.4,23.0,0.88,13.0
2470,Yann Sommer,ch SUI,GK,Inter,it Serie A,35.0,32,32,2880,32.0,100.0,181.0,ch SUI,GK,it Serie A,35.0,1988.0,32.0,32.0,2880.0,32.0,29.0,0.91,110.0,81.0,76.4,20.0,8.0,4.0,13.0,40.6,4.0,3.0,1.0,0.0,181.0,ch SUI,GK,it Serie A,35.0,1988.0,32.0,29.0,3.0,0.0,3.0,1.0,31.7,0.24,0.7,0.02,91.0,226.0,40.3,1199.0,136.0,16.9,26.6,356.0,14.0,3.9,14.0,0.42,13.2
2471,David Soria,es ESP,GK,Getafe,es La Liga,31.0,38,38,3420,38.0,100.0,182.0,es ESP,GK,es La Liga,31.0,1993.0,38.0,38.0,3420.0,38.0,39.0,1.03,126.0,86.0,75.4,11.0,9.0,18.0,9.0,23.7,9.0,8.0,1.0,0.0,182.0,es ESP,GK,es La Liga,31.0,1993.0,38.0,39.0,8.0,0.0,5.0,0.0,42.0,0.29,3.0,0.08,300.0,799.0,37.5,719.0,68.0,72.6,48.8,479.0,25.0,5.2,39.0,1.03,14.7
2472,Juan Soriano,es ESP,GK,Leganés,es La Liga,26.0,6,6,540,6.0,,183.0,es ESP,GK,es La Liga,26.0,1997.0,6.0,6.0,540.0,6.0,7.0,1.17,25.0,19.0,72.0,1.0,2.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0,183.0,es ESP,GK,es La Liga,26.0,1997.0,6.0,7.0,0.0,0.0,1.0,1.0,8.8,0.36,2.8,0.47,36.0,120.0,30.0,131.0,20.0,56.5,43.9,130.0,7.0,5.4,0.0,0.0,8.4
2492,Filip Stankovic,rs SRB,GK,Venezia,it Serie A,22.0,16,16,1367,15.2,100.0,185.0,rs SRB,GK,it Serie A,22.0,2002.0,16.0,16.0,1367.0,15.2,23.0,1.51,83.0,60.0,77.1,2.0,6.0,8.0,0.0,0.0,5.0,4.0,1.0,0.0,185.0,rs SRB,GK,it Serie A,22.0,2002.0,15.2,23.0,4.0,0.0,3.0,1.0,25.2,0.26,3.2,0.21,48.0,161.0,29.8,439.0,51.0,29.4,31.6,249.0,12.0,4.8,13.0,0.86,10.8
2510,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23.0,10,10,900,10.0,100.0,187.0,pl POL,GK,eng Premier League,23.0,2000.0,10.0,10.0,900.0,10.0,16.0,1.6,44.0,28.0,63.6,3.0,1.0,6.0,2.0,20.0,0.0,0.0,0.0,0.0,187.0,pl POL,GK,eng Premier League,23.0,2000.0,10.0,16.0,0.0,0.0,2.0,0.0,15.4,0.35,-0.6,-0.06,57.0,195.0,29.2,328.0,36.0,46.3,34.2,169.0,10.0,5.9,8.0,0.8,12.5
2526,Zion Suzuki,jp JPN,GK,Parma,it Serie A,21.0,37,37,3314,36.8,92.9,188.0,jp JPN,GK,it Serie A,21.0,2002.0,36.0,36.0,3240.0,36.8,53.0,1.47,150.0,99.0,68.0,7.0,15.0,15.0,7.0,19.4,5.0,5.0,0.0,0.0,188.0,jp JPN,GK,it Serie A,21.0,2002.0,36.8,53.0,5.0,3.0,5.0,2.0,51.4,0.32,0.4,0.01,204.0,669.0,30.5,1272.0,184.0,41.4,37.5,614.0,64.0,10.4,38.0,1.03,12.1
2530,Mile Svilar,rs SRB,GK,Roma,it Serie A,24.0,38,38,3420,38.0,85.7,189.0,rs SRB,GK,it Serie A,24.0,1999.0,38.0,38.0,3420.0,38.0,35.0,0.92,151.0,117.0,79.5,20.0,9.0,9.0,16.0,42.1,4.0,4.0,0.0,0.0,189.0,rs SRB,GK,it Serie A,24.0,1999.0,38.0,35.0,4.0,0.0,4.0,1.0,42.5,0.26,8.5,0.22,124.0,413.0,30.0,1258.0,170.0,23.8,30.6,495.0,30.0,6.1,33.0,0.87,13.7
2536,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,34.0,15,15,1350,15.0,,190.0,pl POL,GK,es La Liga,34.0,1990.0,15.0,15.0,1350.0,15.0,12.0,0.8,33.0,21.0,66.7,14.0,1.0,0.0,8.0,53.3,1.0,1.0,0.0,0.0,190.0,pl POL,GK,es La Liga,34.0,1990.0,15.0,12.0,1.0,0.0,1.0,0.0,12.0,0.35,0.0,0.0,24.0,63.0,38.1,398.0,61.0,12.3,25.1,130.0,7.0,5.4,56.0,3.73,20.2
2571,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32.0,8,8,674,7.5,100.0,192.0,de GER,GK,es La Liga,32.0,1992.0,8.0,8.0,674.0,7.5,9.0,1.2,22.0,13.0,63.6,7.0,0.0,1.0,1.0,12.5,1.0,1.0,0.0,0.0,192.0,de GER,GK,es La Liga,32.0,1992.0,7.5,9.0,1.0,0.0,1.0,0.0,6.4,0.26,-2.6,-0.34,15.0,31.0,48.4,224.0,40.0,12.1,26.5,83.0,5.0,6.0,13.0,1.74,17.0
