Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,PPA,Succ,PrgC,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,PPA_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,PrgC_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90
Franck Honorat,fr FRA,FW,WINGER,Gladbach,de Bundesliga,27.0,19,18,1439,16.0,7,5.3,50,45,0,125,26,12,63,32,124,5.19,0.5,4,4.5,31,9,0.13,0.44,0.438,0.331,3.125,2.812,0.0,7.812,1.625,0.75,2.0,7.75,3.938,0.25,0.281,1.938,0.562
Mathias Honsak,at AUT,"FW,DF",STRIKER,Heidenheim,de Bundesliga,27.0,22,12,1181,13.1,1,1.6,14,29,0,50,12,9,37,23,58,3.13,0.38,5,3.3,29,10,0.17,0.5,0.076,0.122,1.069,2.214,0.0,3.817,0.916,0.687,1.756,4.427,2.824,0.382,0.252,2.214,0.763
Callum Hudson-Odoi,eng ENG,"FW,MF",WINGER,Nott'ham Forest,eng Premier League,23.0,31,25,2194,24.4,2,2.7,44,71,5,79,33,37,130,63,189,3.86,0.45,5,2.5,37,17,0.14,0.29,0.082,0.111,1.803,2.91,0.205,3.238,1.352,1.516,2.582,7.746,5.328,0.205,0.102,1.516,0.697
Omari Hutchinson,eng ENG,"MF,FW",WINGER,Ipswich Town,eng Premier League,20.0,31,30,2583,28.7,2,3.5,31,75,4,81,27,51,97,137,159,2.82,0.21,3,2.9,45,18,0.07,0.17,0.07,0.122,1.08,2.613,0.139,2.822,0.941,1.777,4.774,5.54,3.38,0.105,0.101,1.568,0.627
Rasmus Højlund,dk DEN,FW,WINGER/STRIKER,Manchester Utd,eng Premier League,21.0,32,23,2004,22.3,0,1.8,16,18,2,8,5,9,28,33,101,1.53,0.04,4,5.3,32,13,0.13,0.31,0.0,0.081,0.717,0.807,0.09,0.359,0.224,0.404,1.48,4.529,1.256,0.179,0.238,1.435,0.583
Borja Iglesias,es ESP,FW,STRIKER,Celta Vigo,es La Liga,31.0,37,24,1952,21.7,3,3.2,18,28,8,6,9,11,22,32,108,1.66,0.32,11,9.3,46,28,0.24,0.39,0.138,0.147,0.829,1.29,0.369,0.276,0.415,0.507,1.475,4.977,1.014,0.507,0.429,2.12,1.29
Jonathan Ikone,fr FRA,FW,WINGER,Como,it Serie A,26.0,13,5,540,6.0,0,0.2,2,17,4,1,7,8,23,29,55,2.33,0.5,2,1.8,16,5,0.13,0.4,0.0,0.033,0.333,2.833,0.667,0.167,1.167,1.333,4.833,9.167,3.833,0.333,0.3,2.667,0.833
George Ilenikhena,ng NGA,FW,STRIKER,Monaco,fr Ligue 1,17.0,23,6,717,8.0,2,1.4,9,10,1,0,3,3,8,17,58,2.14,0.38,3,5.1,21,9,0.14,0.33,0.25,0.175,1.125,1.25,0.125,0.0,0.375,0.375,2.125,7.25,1.0,0.375,0.638,2.625,1.125
Andrej Ilic,rs SRB,FW,STRIKER,Union Berlin,de Bundesliga,24.0,16,11,937,10.4,0,0.3,6,13,1,3,0,1,5,7,59,1.44,0.19,7,4.9,27,11,0.22,0.55,0.0,0.029,0.577,1.25,0.096,0.288,0.0,0.096,0.673,5.673,0.481,0.673,0.471,2.596,1.058
Alexander Isak,se SWE,FW,STRIKER,Newcastle Utd,eng Premier League,24.0,34,34,2756,30.6,6,4.3,41,88,6,16,31,42,83,91,217,3.01,0.46,23,20.3,95,41,0.2,0.46,0.196,0.141,1.34,2.876,0.196,0.523,1.013,1.373,2.974,7.092,2.712,0.752,0.663,3.105,1.34
Gustav Isaksen,dk DEN,FW,WINGER,Lazio,it Serie A,23.0,37,29,2210,24.6,2,2.1,35,46,2,110,24,44,95,105,249,3.79,0.37,4,5.2,54,24,0.07,0.17,0.081,0.085,1.423,1.87,0.081,4.472,0.976,1.789,4.268,10.122,3.862,0.163,0.211,2.195,0.976
