Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,Cmp,Att,Cmp%,TB,Crs,CK,1/3,PPA,Touches,PrgC,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,Cmp_p90,Att_p90,TB_p90,Crs_p90,CK_p90,1/3_p90,PPA_p90,Touches_p90,PrgC_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90,Cluster
Morten Thorsby,no NOR,"MF,FW",CDM,Genoa,it Serie A,28.0,30,22,1898,21.1,1,2.1,27,58,353,530,66.6,3,9,0,45,10,753,24,9,22,76,2.61,0.09,0,2.8,15,6,0.0,0.0,49,30,5,22,28,1,0.047,0.1,1.28,2.749,16.73,25.118,0.142,0.427,0.0,2.133,0.474,35.687,1.137,0.427,1.043,3.602,0.0,0.133,0.711,0.284,2.322,1.422,0.237,1.043,1.327,0.047,0
Khéphren Thuram,fr FRA,MF,CDM,Juventus,it Serie A,23.0,35,26,2326,25.8,5,3.6,25,123,1228,1389,88.4,6,13,0,124,19,1661,74,39,70,52,2.17,0.39,4,3.5,36,10,0.11,0.4,44,21,14,32,39,2,0.194,0.14,0.969,4.767,47.597,53.837,0.233,0.504,0.0,4.806,0.736,64.38,2.868,1.512,2.713,2.016,0.155,0.136,1.395,0.388,1.705,0.814,0.543,1.24,1.512,0.078,0
Cheikh Tidiane Niasse,sn SEN,MF,CDM,Hellas Verona,it Serie A,24.0,11,8,755,8.4,0,0.1,4,25,192,240,80.0,0,2,0,16,2,353,5,1,7,15,1.43,0.0,0,0.4,3,1,0.0,0.0,18,15,17,17,17,2,0.0,0.012,0.476,2.976,22.857,28.571,0.0,0.238,0.0,1.905,0.238,42.024,0.595,0.119,0.833,1.786,0.0,0.048,0.357,0.119,2.143,1.786,2.024,2.024,2.024,0.238,0
Youri Tielemans,be BEL,MF,CAM,Aston Villa,eng Premier League,27.0,36,35,3026,33.6,7,7.0,60,235,1694,2061,82.2,24,119,85,229,38,2385,39,31,61,48,3.63,0.36,3,3.3,40,12,0.08,0.25,84,58,23,38,47,4,0.208,0.208,1.786,6.994,50.417,61.339,0.714,3.542,2.53,6.815,1.131,70.982,1.161,0.923,1.815,1.429,0.089,0.098,1.19,0.357,2.5,1.726,0.685,1.131,1.399,0.119,2
Corentin Tolisso,fr FRA,MF,CAM,Lyon,fr Ligue 1,29.0,32,27,2329,25.9,4,4.9,31,166,1359,1602,84.8,5,32,1,147,35,1917,31,11,21,133,3.13,0.58,7,5.3,51,18,0.14,0.39,57,25,22,52,41,1,0.154,0.189,1.197,6.409,52.471,61.853,0.193,1.236,0.039,5.676,1.351,74.015,1.197,0.425,0.811,5.135,0.27,0.205,1.969,0.695,2.201,0.965,0.849,2.008,1.583,0.039,2
John Tolkin,us USA,"DF,MF",CDM,Holstein Kiel,de Bundesliga,22.0,11,9,737,8.2,2,0.7,11,17,250,368,67.9,1,38,20,14,5,479,6,5,10,12,2.44,0.24,0,0.1,3,0,0.0,0.0,18,11,8,10,54,0,0.244,0.085,1.341,2.073,30.488,44.878,0.122,4.634,2.439,1.707,0.61,58.415,0.732,0.61,1.22,1.463,0.0,0.012,0.366,0.0,2.195,1.341,0.976,1.22,6.585,0.0,0
Tiago Tomás,pt POR,"FW,MF",CM,Wolfsburg,de Bundesliga,22.0,32,23,1884,20.9,1,2.6,20,50,329,475,69.3,5,22,0,33,13,782,31,29,80,125,2.63,0.38,6,5.4,42,20,0.14,0.3,33,19,9,17,19,0,0.048,0.124,0.957,2.392,15.742,22.727,0.239,1.053,0.0,1.579,0.622,37.416,1.483,1.388,3.828,5.981,0.287,0.258,2.01,0.957,1.579,0.909,0.431,0.813,0.909,0.0,1
Sandro Tonali,it ITA,MF,CDM,Newcastle Utd,eng Premier League,24.0,36,28,2630,29.2,2,2.2,28,128,1285,1535,83.7,7,54,19,104,30,1818,37,20,37,53,2.67,0.31,4,4.4,35,12,0.11,0.33,51,32,34,34,33,2,0.068,0.075,0.959,4.384,44.007,52.568,0.24,1.849,0.651,3.562,1.027,62.26,1.267,0.685,1.267,1.815,0.137,0.151,1.199,0.411,1.747,1.096,1.164,1.164,1.13,0.068,0
Ferrán Torres,es ESP,"FW,MF",CM,Barcelona,es La Liga,24.0,27,12,1106,12.3,6,3.1,19,35,267,360,74.2,2,17,9,17,18,498,23,11,21,98,3.09,0.57,10,8.0,48,22,0.21,0.45,8,4,4,7,5,0,0.488,0.252,1.545,2.846,21.707,29.268,0.163,1.382,0.732,1.382,1.463,40.488,1.87,0.894,1.707,7.967,0.813,0.65,3.902,1.789,0.65,0.325,0.325,0.569,0.407,0.0,1
Lucas Torró,es ESP,MF,CDM,Osasuna,es La Liga,30.0,35,35,2957,32.9,0,1.2,10,109,1026,1363,75.3,1,1,0,114,5,1706,10,6,9,30,1.16,0.09,3,2.3,31,7,0.1,0.43,74,41,45,36,70,3,0.0,0.036,0.304,3.313,31.185,41.429,0.03,0.03,0.0,3.465,0.152,51.854,0.304,0.182,0.274,0.912,0.091,0.07,0.942,0.213,2.249,1.246,1.368,1.094,2.128,0.091,0
Abdoulaye Touré,gn GUI,MF,CDM,Le Havre,fr Ligue 1,30.0,28,26,2324,25.8,1,0.4,7,109,868,1059,82.0,3,11,0,90,10,1354,17,17,33,28,1.9,0.19,10,9.4,38,6,0.05,0.33,61,34,34,36,42,5,0.039,0.016,0.271,4.225,33.643,41.047,0.116,0.426,0.0,3.488,0.388,52.481,0.659,0.659,1.279,1.085,0.388,0.364,1.473,0.233,2.364,1.318,1.318,1.395,1.628,0.194,0
Bazoumana Touré,ci CIV,"FW,MF",CAM,Hoffenheim,de Bundesliga,18.0,13,7,609,6.8,3,1.9,13,14,125,187,66.8,0,24,1,9,11,291,24,12,22,56,3.7,0.59,0,1.4,19,5,0.0,0.0,12,10,3,4,2,0,0.441,0.279,1.912,2.059,18.382,27.5,0.0,3.529,0.147,1.324,1.618,42.794,3.529,1.765,3.235,8.235,0.0,0.206,2.794,0.735,1.765,1.471,0.441,0.588,0.294,0.0,2
Lucas Tousart,fr FRA,MF,CDM,Union Berlin,de Bundesliga,27.0,15,6,561,6.2,1,0.5,3,18,108,162,66.7,0,2,0,7,4,264,4,5,11,13,1.93,0.32,0,0.4,9,5,0.0,0.0,17,9,7,11,27,0,0.161,0.081,0.484,2.903,17.419,26.129,0.0,0.323,0.0,1.129,0.645,42.581,0.645,0.806,1.774,2.097,0.0,0.065,1.452,0.806,2.742,1.452,1.129,1.774,4.355,0.0,0
Adama Traoré,es ESP,"FW,MF",CAM,Fulham,eng Premier League,28.0,36,18,1772,19.7,7,4.9,42,68,424,587,72.2,6,100,0,36,38,801,100,48,97,161,4.16,0.51,2,4.0,39,12,0.05,0.17,20,13,1,7,6,4,0.355,0.249,2.132,3.452,21.523,29.797,0.305,5.076,0.0,1.827,1.929,40.66,5.076,2.437,4.924,8.173,0.102,0.203,1.98,0.609,1.015,0.66,0.051,0.355,0.305,0.203,2
Óscar Trejo,ar ARG,MF,CDM,Rayo Vallecano,es La Liga,36.0,19,6,496,5.5,0,1.0,9,37,261,312,83.7,1,7,3,30,5,409,15,8,22,28,3.27,0.18,1,0.6,5,2,0.2,0.5,8,5,4,9,5,0,0.0,0.182,1.636,6.727,47.455,56.727,0.182,1.273,0.545,5.455,0.909,74.364,2.727,1.455,4.0,5.091,0.182,0.109,0.909,0.364,1.455,0.909,0.727,1.636,0.909,0.0,0
Philipp Treu,de GER,"MF,DF",CDM,St. Pauli,de Bundesliga,23.0,33,33,2881,32.0,2,2.5,22,105,1225,1532,80.0,1,60,0,62,19,1867,58,13,39,117,2.16,0.16,0,1.2,19,4,0.0,0.0,61,42,19,52,87,2,0.062,0.078,0.688,3.281,38.281,47.875,0.031,1.875,0.0,1.938,0.594,58.344,1.812,0.406,1.219,3.656,0.0,0.038,0.594,0.125,1.906,1.312,0.594,1.625,2.719,0.062,0
Christopher Trimmel,at AUT,"DF,MF",CDM,Union Berlin,de Bundesliga,37.0,26,20,1740,19.3,3,2.1,35,73,474,783,60.5,1,111,50,60,18,979,18,2,8,45,2.94,0.31,0,0.2,9,3,0.0,0.0,38,25,18,14,92,0,0.155,0.109,1.813,3.782,24.56,40.57,0.052,5.751,2.591,3.109,0.933,50.725,0.933,0.104,0.415,2.332,0.0,0.01,0.466,0.155,1.969,1.295,0.933,0.725,4.767,0.0,0
Adrien Truffert,fr FRA,"DF,MF",CDM,Rennes,fr Ligue 1,22.0,33,31,2752,30.6,2,3.2,39,104,1263,1601,78.9,1,145,38,56,39,1906,69,16,44,243,2.49,0.26,2,2.4,23,10,0.09,0.2,61,36,27,44,56,1,0.065,0.105,1.275,3.399,41.275,52.32,0.033,4.739,1.242,1.83,1.275,62.288,2.255,0.523,1.438,7.941,0.065,0.078,0.752,0.327,1.993,1.176,0.882,1.438,1.83,0.033,0
Viktor Tsyhankov,ua UKR,"FW,MF",CM,Girona,es La Liga,26.0,27,23,1913,21.3,5,3.9,33,65,646,871,74.2,3,124,80,38,24,1064,62,15,35,195,3.06,0.38,2,2.8,35,9,0.06,0.22,19,12,15,7,16,1,0.235,0.183,1.549,3.052,30.329,40.892,0.141,5.822,3.756,1.784,1.127,49.953,2.911,0.704,1.643,9.155,0.094,0.131,1.643,0.423,0.892,0.563,0.704,0.329,0.751,0.047,1
Beñat Turrientes,es ESP,MF,CDM,Real Sociedad,es La Liga,22.0,21,11,942,10.5,0,0.2,3,42,405,452,89.6,0,19,10,40,2,561,18,13,24,28,1.15,0.0,0,0.6,7,1,0.0,0.0,15,6,5,15,14,1,0.0,0.019,0.286,4.0,38.571,43.048,0.0,1.81,0.952,3.81,0.19,53.429,1.714,1.238,2.286,2.667,0.0,0.057,0.667,0.095,1.429,0.571,0.476,1.429,1.333,0.095,0
Tuta,br BRA,"DF,MF",CDM,Eint Frankfurt,de Bundesliga,25.0,30,26,2274,25.3,1,0.3,4,78,1265,1442,87.7,4,3,0,79,11,1772,11,13,17,12,1.03,0.04,2,1.1,13,5,0.15,0.4,44,27,40,42,135,1,0.04,0.012,0.158,3.083,50.0,56.996,0.158,0.119,0.0,3.123,0.435,70.04,0.435,0.514,0.672,0.474,0.079,0.043,0.514,0.198,1.739,1.067,1.581,1.66,5.336,0.04,0
