Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,Cmp,Att,Cmp%,TB,Crs,CK,1/3,PPA,Touches,PrgC,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,Cmp_p90,Att_p90,TB_p90,Crs_p90,CK_p90,1/3_p90,PPA_p90,Touches_p90,PrgC_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90,Cluster
Eldor Shomurodov,uz UZB,"FW,MF",CM,Roma,it Serie A,29.0,27,11,1097,12.2,4,1.3,17,21,215,286,75.2,1,6,0,10,6,446,19,8,28,62,2.62,0.57,4,4.7,29,13,0.14,0.31,14,6,3,10,5,0,0.328,0.107,1.393,1.721,17.623,23.443,0.082,0.492,0.0,0.82,0.492,36.557,1.557,0.656,2.295,5.082,0.328,0.385,2.377,1.066,1.148,0.492,0.246,0.82,0.41,0.0,1
Armindo Sieb,de GER,"FW,MF",CM,Mainz 05,de Bundesliga,21.0,27,5,762,8.5,2,1.1,8,18,136,195,69.7,1,6,0,12,8,333,28,11,36,64,2.0,0.47,2,2.8,29,7,0.07,0.29,10,4,1,4,7,0,0.235,0.129,0.941,2.118,16.0,22.941,0.118,0.706,0.0,1.412,0.941,39.176,3.294,1.294,4.235,7.529,0.235,0.329,3.412,0.824,1.176,0.471,0.118,0.471,0.824,0.0,1
Vincent Sierro,ch SUI,MF,CDM,Toulouse,fr Ligue 1,28.0,29,27,2402,26.7,1,3.6,30,147,1076,1372,78.4,6,64,38,102,26,1646,15,12,28,27,2.36,0.15,5,4.2,30,7,0.1,0.43,44,27,16,34,44,1,0.037,0.135,1.124,5.506,40.3,51.386,0.225,2.397,1.423,3.82,0.974,61.648,0.562,0.449,1.049,1.011,0.187,0.157,1.124,0.262,1.648,1.011,0.599,1.273,1.648,0.037,0
Bernardo Silva,pt POR,"MF,FW",CAM,Manchester City,eng Premier League,29.0,33,29,2670,29.7,4,5.1,53,134,1547,1783,86.8,4,60,16,87,40,2054,101,28,61,200,3.1,0.27,4,3.9,32,11,0.13,0.36,56,37,23,36,32,3,0.135,0.172,1.785,4.512,52.088,60.034,0.135,2.02,0.539,2.929,1.347,69.158,3.401,0.943,2.054,6.734,0.135,0.131,1.077,0.37,1.886,1.246,0.774,1.212,1.077,0.101,2
Jota Silva,pt POR,"FW,MF",CM,Nott'ham Forest,eng Premier League,24.0,31,5,854,9.5,1,2.9,14,18,118,196,60.2,1,21,1,4,9,357,21,10,34,59,3.06,0.32,3,2.1,23,7,0.13,0.43,27,14,12,9,17,0,0.105,0.305,1.474,1.895,12.421,20.632,0.105,2.211,0.105,0.421,0.947,37.579,2.211,1.053,3.579,6.211,0.316,0.221,2.421,0.737,2.842,1.474,1.263,0.947,1.789,0.0,1
Abdallah Sima,sn SEN,"FW,MF",CM,Brest,fr Ligue 1,23.0,27,14,1238,13.8,2,1.0,13,24,231,332,69.6,0,16,0,13,6,510,36,6,23,92,2.04,0.22,7,5.9,37,18,0.19,0.39,15,11,1,9,9,0,0.145,0.072,0.942,1.739,16.739,24.058,0.0,1.159,0.0,0.942,0.435,36.957,2.609,0.435,1.667,6.667,0.507,0.428,2.681,1.304,1.087,0.797,0.072,0.652,0.652,0.0,1
Giuliano Simeone,ar ARG,MF,CM,Atlético Madrid,es La Liga,21.0,33,26,1926,21.4,6,5.2,24,49,600,795,75.5,2,49,1,30,27,1034,69,30,68,189,2.34,0.42,2,2.2,22,7,0.09,0.29,27,13,14,22,22,1,0.28,0.243,1.121,2.29,28.037,37.15,0.093,2.29,0.047,1.402,1.262,48.318,3.224,1.402,3.178,8.832,0.093,0.103,1.028,0.327,1.262,0.607,0.654,1.028,1.028,0.047,1
Moses Simon,ng NGA,"FW,MF",CM,Nantes,fr Ligue 1,29.0,32,31,2609,29.0,10,6.7,56,59,505,815,62.0,5,222,67,27,41,1131,147,65,147,222,3.73,0.52,8,5.8,40,13,0.1,0.31,20,14,12,11,13,0,0.345,0.231,1.931,2.034,17.414,28.103,0.172,7.655,2.31,0.931,1.414,39.0,5.069,2.241,5.069,7.655,0.276,0.2,1.379,0.448,0.69,0.483,0.414,0.379,0.448,0.0,1
Xavi Simons,nl NED,MF,CAM,RB Leipzig,de Bundesliga,21.0,25,25,2150,23.9,6,6.3,51,140,944,1201,78.6,23,79,58,79,60,1557,85,33,100,185,4.52,0.5,10,5.1,50,23,0.2,0.43,28,21,12,19,19,1,0.251,0.264,2.134,5.858,39.498,50.251,0.962,3.305,2.427,3.305,2.51,65.146,3.556,1.381,4.184,7.741,0.418,0.213,2.092,0.962,1.172,0.879,0.502,0.795,0.795,0.042,2
Danel Sinani,lu LUX,"FW,MF",CM,St. Pauli,de Bundesliga,27.0,26,14,1250,13.9,2,3.0,24,60,390,546,71.4,5,67,54,45,16,693,16,10,22,64,4.32,0.29,2,1.7,35,12,0.06,0.17,14,11,1,12,13,0,0.144,0.216,1.727,4.317,28.058,39.281,0.36,4.82,3.885,3.237,1.151,49.856,1.151,0.719,1.583,4.604,0.144,0.122,2.518,0.863,1.007,0.791,0.072,0.863,0.935,0.0,1
Lassine Sinayoko,ml MLI,"FW,MF",CM,Auxerre,fr Ligue 1,24.0,34,25,2299,25.5,8,5.5,37,62,528,688,76.7,5,25,1,28,17,993,53,28,73,193,3.76,0.78,5,6.5,60,16,0.07,0.25,33,20,13,16,38,0,0.314,0.216,1.451,2.431,20.706,26.98,0.196,0.98,0.039,1.098,0.667,38.941,2.078,1.098,2.863,7.569,0.196,0.255,2.353,0.627,1.294,0.784,0.51,0.627,1.49,0.0,1
Jailson Siqueira,br BRA,"DF,MF",CDM,Celta Vigo,es La Liga,28.0,13,6,614,6.8,0,0.0,1,43,435,481,90.4,0,1,0,33,0,551,10,3,4,3,1.17,0.0,0,0.1,4,2,0.0,0.0,13,11,9,6,28,1,0.0,0.0,0.147,6.324,63.971,70.735,0.0,0.147,0.0,4.853,0.0,81.029,1.471,0.441,0.588,0.441,0.0,0.015,0.588,0.294,1.912,1.618,1.324,0.882,4.118,0.147,0
Ibrahima Sissoko,ml MLI,MF,CDM,Bochum,de Bundesliga,26.0,32,30,2610,29.0,1,1.6,27,105,804,1072,75.0,4,21,0,77,16,1429,35,32,61,69,2.24,0.1,2,1.7,25,8,0.08,0.25,66,44,36,39,61,0,0.034,0.055,0.931,3.621,27.724,36.966,0.138,0.724,0.0,2.655,0.552,49.276,1.207,1.103,2.103,2.379,0.069,0.059,0.862,0.276,2.276,1.517,1.241,1.345,2.103,0.0,0
Tim Skarke,de GER,"FW,MF",CM,Union Berlin,de Bundesliga,27.0,33,11,1164,12.9,2,1.2,16,25,243,347,70.0,0,29,0,12,15,487,26,10,24,96,2.63,0.31,0,2.1,20,9,0.0,0.0,14,11,5,7,17,0,0.155,0.093,1.24,1.938,18.837,26.899,0.0,2.248,0.0,0.93,1.163,37.752,2.016,0.775,1.86,7.442,0.0,0.163,1.55,0.698,1.085,0.853,0.388,0.543,1.318,0.0,1
Ellyes Skhiri,tn TUN,MF,CDM,Eint Frankfurt,de Bundesliga,29.0,30,26,2231,24.8,2,1.4,22,105,1153,1303,88.5,2,3,0,82,18,1544,17,11,15,27,1.98,0.2,1,1.4,13,2,0.08,0.5,40,22,31,30,45,4,0.081,0.056,0.887,4.234,46.492,52.54,0.081,0.121,0.0,3.306,0.726,62.258,0.685,0.444,0.605,1.089,0.04,0.056,0.524,0.081,1.613,0.887,1.25,1.21,1.815,0.161,0
Oliver Skipp,eng ENG,MF,CDM,Leicester City,eng Premier League,23.0,24,10,1129,12.5,0,0.3,9,35,419,502,83.5,2,5,0,32,4,612,16,7,12,19,1.2,0.0,0,0.4,5,1,0.0,0.0,21,4,11,23,11,2,0.0,0.024,0.72,2.8,33.52,40.16,0.16,0.4,0.0,2.56,0.32,48.96,1.28,0.56,0.96,1.52,0.0,0.032,0.4,0.08,1.68,0.32,0.88,1.84,0.88,0.16,0
Andreas Skov Olsen,dk DEN,"FW,MF",CAM,Wolfsburg,de Bundesliga,24.0,12,4,535,5.9,1,1.9,18,22,217,270,80.4,0,29,9,12,10,329,22,4,14,48,5.38,0.17,1,0.8,7,1,0.14,1.0,8,6,2,4,12,0,0.169,0.322,3.051,3.729,36.78,45.763,0.0,4.915,1.525,2.034,1.695,55.763,3.729,0.678,2.373,8.136,0.169,0.136,1.186,0.169,1.356,1.017,0.339,0.678,2.034,0.0,2
Robert Skov,dk DEN,"DF,MF",CAM,Union Berlin,de Bundesliga,28.0,15,11,852,9.5,2,2.4,19,36,305,463,65.9,2,61,25,18,16,564,25,5,17,45,3.9,0.53,2,1.7,16,5,0.06,0.2,15,11,8,8,9,0,0.211,0.253,2.0,3.789,32.105,48.737,0.211,6.421,2.632,1.895,1.684,59.368,2.632,0.526,1.789,4.737,0.211,0.179,1.684,0.526,1.579,1.158,0.842,0.842,0.947,0.0,2
Steven Skrzybski,de GER,"MF,FW",CM,Holstein Kiel,de Bundesliga,31.0,24,15,1323,14.7,3,2.9,22,64,312,446,70.0,5,31,7,36,16,619,17,13,22,71,3.47,0.34,6,3.5,32,12,0.16,0.42,19,6,11,16,11,0,0.204,0.197,1.497,4.354,21.224,30.34,0.34,2.109,0.476,2.449,1.088,42.109,1.156,0.884,1.497,4.83,0.408,0.238,2.177,0.816,1.293,0.408,0.748,1.088,0.748,0.0,1
William Smallbone,ie IRL,MF,CDM,Southampton,eng Premier League,24.0,18,6,690,7.7,0,0.7,10,27,270,356,75.8,1,36,25,13,4,431,5,4,6,25,2.09,0.0,1,0.6,7,1,0.14,1.0,20,13,2,8,14,2,0.0,0.091,1.299,3.506,35.065,46.234,0.13,4.675,3.247,1.688,0.519,55.974,0.649,0.519,0.779,3.247,0.13,0.078,0.909,0.13,2.597,1.688,0.26,1.039,1.818,0.26,0
Eric Smith,se SWE,"DF,MF",CDM,St. Pauli,de Bundesliga,27.0,32,32,2827,31.4,1,1.5,28,118,1355,1677,80.8,4,102,59,118,19,1956,16,3,5,11,2.1,0.06,1,1.4,24,9,0.04,0.11,46,29,37,37,104,4,0.032,0.048,0.892,3.758,43.153,53.408,0.127,3.248,1.879,3.758,0.605,62.293,0.51,0.096,0.159,0.35,0.032,0.045,0.764,0.287,1.465,0.924,1.178,1.178,3.312,0.127,0
Emile Smith Rowe,eng ENG,MF,CM,Fulham,eng Premier League,24.0,34,25,2043,22.7,3,1.4,24,126,922,1023,90.1,2,16,1,80,15,1223,53,16,35,127,3.22,0.53,6,4.5,37,11,0.16,0.55,31,18,11,22,16,0,0.132,0.062,1.057,5.551,40.617,45.066,0.088,0.705,0.044,3.524,0.661,53.877,2.335,0.705,1.542,5.595,0.264,0.198,1.63,0.485,1.366,0.793,0.485,0.969,0.705,0.0,1
Simon Sohm,ch SUI,MF,CM,Parma,it Serie A,23.0,37,36,2989,33.2,0,2.1,20,140,1050,1233,85.2,9,15,6,122,24,1467,69,15,35,67,2.35,0.09,4,3.1,34,13,0.12,0.31,28,17,26,11,36,0,0.0,0.063,0.602,4.217,31.627,37.139,0.271,0.452,0.181,3.675,0.723,44.187,2.078,0.452,1.054,2.018,0.12,0.093,1.024,0.392,0.843,0.512,0.783,0.331,1.084,0.0,1
Alex Sola,es ESP,"MF,FW",CM,Getafe,es La Liga,25.0,19,13,1029,11.4,1,0.7,9,23,155,242,64.0,0,18,0,12,2,446,24,21,61,61,2.28,0.18,0,1.0,15,2,0.0,0.0,21,14,7,8,11,1,0.088,0.061,0.789,2.018,13.596,21.228,0.0,1.579,0.0,1.053,0.175,39.123,2.105,1.842,5.351,5.351,0.0,0.088,1.316,0.175,1.842,1.228,0.614,0.702,0.965,0.088,1
Ola Solbakken,no NOR,"MF,FW",CM,Empoli,it Serie A,25.0,21,8,760,8.4,0,0.4,9,20,141,199,70.9,1,7,0,14,5,263,18,7,15,32,1.42,0.12,0,0.8,4,3,0.0,0.0,7,4,2,0,8,0,0.0,0.048,1.071,2.381,16.786,23.69,0.119,0.833,0.0,1.667,0.595,31.31,2.143,0.833,1.786,3.81,0.0,0.095,0.476,0.357,0.833,0.476,0.238,0.0,0.952,0.0,1
Carlos Soler,es ESP,"MF,FW",CM,West Ham,eng Premier League,27.0,31,14,1409,15.7,1,1.4,18,56,570,669,85.2,4,34,21,43,13,794,17,8,18,37,3.26,0.13,1,1.8,25,8,0.04,0.13,16,11,8,19,21,2,0.064,0.089,1.146,3.567,36.306,42.611,0.255,2.166,1.338,2.739,0.828,50.573,1.083,0.51,1.146,2.357,0.064,0.115,1.592,0.51,1.019,0.701,0.51,1.21,1.338,0.127,1
Jhon Solis,co COL,MF,CDM,Girona,es La Liga,19.0,19,3,535,5.9,0,0.1,2,29,264,295,89.5,1,3,0,29,1,364,9,5,12,15,1.01,0.0,1,0.7,4,1,0.25,1.0,13,7,4,13,6,1,0.0,0.017,0.339,4.915,44.746,50.0,0.169,0.508,0.0,4.915,0.169,61.695,1.525,0.847,2.034,2.542,0.169,0.119,0.678,0.169,2.203,1.186,0.678,2.203,1.017,0.169,0
Hugo Sotelo,es ESP,MF,CDM,Celta Vigo,es La Liga,20.0,24,15,1254,13.9,0,1.7,19,83,873,1018,85.8,3,50,39,100,12,1097,21,8,20,38,2.87,0.0,0,0.2,4,0,0.0,0.0,28,17,5,9,9,1,0.0,0.122,1.367,5.971,62.806,73.237,0.216,3.597,2.806,7.194,0.863,78.921,1.511,0.576,1.439,2.734,0.0,0.014,0.288,0.0,2.014,1.223,0.36,0.647,0.647,0.072,0
Florian Sotoca,fr FRA,"FW,MF",CM,Lens,fr Ligue 1,33.0,31,22,1794,19.9,1,1.5,18,105,732,996,73.5,8,75,2,74,29,1186,44,16,39,170,2.66,0.15,1,4.6,47,18,0.02,0.06,22,13,14,12,25,0,0.05,0.075,0.905,5.276,36.784,50.05,0.402,3.769,0.101,3.719,1.457,59.598,2.211,0.804,1.96,8.543,0.05,0.231,2.362,0.905,1.106,0.653,0.704,0.603,1.256,0.0,1
Riccardo Sottil,it ITA,"FW,MF",CM,Fiorentina,it Serie A,25.0,18,8,833,9.3,1,0.9,12,18,196,278,70.5,1,41,5,5,12,356,71,11,27,100,3.78,0.43,1,0.9,22,6,0.05,0.17,5,4,4,1,3,0,0.108,0.097,1.29,1.935,21.075,29.892,0.108,4.409,0.538,0.538,1.29,38.28,7.634,1.183,2.903,10.753,0.108,0.097,2.366,0.645,0.538,0.43,0.43,0.108,0.323,0.0,1
Tomáš Souček,cz CZE,MF,CDM,West Ham,eng Premier League,29.0,35,30,2567,28.5,1,1.0,14,74,715,969,73.8,0,14,0,62,8,1280,9,6,12,68,1.54,0.11,9,6.7,55,17,0.16,0.53,46,21,20,41,85,1,0.035,0.035,0.491,2.596,25.088,34.0,0.0,0.491,0.0,2.175,0.281,44.912,0.316,0.211,0.421,2.386,0.316,0.235,1.93,0.596,1.614,0.737,0.702,1.439,2.982,0.035,0
Matìas Soulé,ar ARG,"MF,DF",CAM,Roma,it Serie A,21.0,27,22,1781,19.8,5,5.2,51,89,785,955,82.2,5,88,38,53,34,1271,84,35,108,191,4.55,0.4,5,3.0,42,13,0.12,0.38,26,16,9,25,25,0,0.253,0.263,2.576,4.495,39.646,48.232,0.253,4.444,1.919,2.677,1.717,64.192,4.242,1.768,5.455,9.646,0.253,0.152,2.121,0.657,1.313,0.808,0.455,1.263,1.263,0.0,2
Boubakary Soumaré,fr FRA,MF,CDM,Leicester City,eng Premier League,25.0,31,25,2171,24.1,0,0.4,11,105,1073,1234,87.0,3,10,0,95,16,1441,34,27,45,23,1.45,0.12,0,0.3,7,0,0.0,0.0,37,20,27,22,34,4,0.0,0.017,0.456,4.357,44.523,51.203,0.124,0.415,0.0,3.942,0.664,59.793,1.411,1.12,1.867,0.954,0.0,0.012,0.29,0.0,1.535,0.83,1.12,0.913,1.411,0.166,0
Issa Soumaré,sn SEN,"FW,MF",CM,Le Havre,fr Ligue 1,23.0,29,21,1902,21.1,4,3.1,28,45,339,554,61.2,1,42,0,17,16,839,61,16,57,144,2.46,0.43,5,3.8,43,19,0.12,0.26,25,14,16,19,32,0,0.19,0.147,1.327,2.133,16.066,26.256,0.047,1.991,0.0,0.806,0.758,39.763,2.891,0.758,2.701,6.825,0.237,0.18,2.038,0.9,1.185,0.664,0.758,0.9,1.517,0.0,1
Djibril Sow,ch SUI,MF,CDM,Sevilla,es La Liga,27.0,30,24,2062,22.9,1,1.6,21,100,883,994,88.8,0,9,2,87,10,1197,23,10,25,50,2.79,0.17,2,2.4,22,6,0.09,0.33,25,14,28,18,26,1,0.044,0.07,0.917,4.367,38.559,43.406,0.0,0.393,0.087,3.799,0.437,52.271,1.004,0.437,1.092,2.183,0.087,0.105,0.961,0.262,1.092,0.611,1.223,0.786,1.135,0.044,0
Anton Stach,de GER,"MF,DF",CDM,Hoffenheim,de Bundesliga,25.0,30,29,2585,28.7,2,2.2,26,152,1270,1537,82.6,4,24,1,120,33,1925,33,15,35,36,2.19,0.17,1,2.0,35,10,0.03,0.1,66,46,46,47,101,2,0.07,0.077,0.906,5.296,44.251,53.554,0.139,0.836,0.035,4.181,1.15,67.073,1.15,0.523,1.22,1.254,0.035,0.07,1.22,0.348,2.3,1.603,1.603,1.638,3.519,0.07,0
Jens Stage,dk DEN,MF,CM,Werder Bremen,de Bundesliga,27.0,28,26,2204,24.5,5,2.8,23,104,768,998,77.0,7,23,0,67,26,1271,28,8,17,89,2.57,0.61,10,7.2,44,15,0.23,0.67,49,30,18,44,42,2,0.204,0.114,0.939,4.245,31.347,40.735,0.286,0.939,0.0,2.735,1.061,51.878,1.143,0.327,0.694,3.633,0.408,0.294,1.796,0.612,2.0,1.224,0.735,1.796,1.714,0.082,1
Raheem Sterling,eng ENG,"FW,MF",CM,Arsenal,eng Premier League,29.0,17,7,499,5.5,2,0.5,8,18,158,201,78.6,0,16,1,4,9,274,27,10,30,79,3.43,0.54,0,1.4,11,0,0.0,0.0,9,4,1,3,4,0,0.364,0.091,1.455,3.273,28.727,36.545,0.0,2.909,0.182,0.727,1.636,49.818,4.909,1.818,5.455,14.364,0.0,0.255,2.0,0.0,1.636,0.727,0.182,0.545,0.727,0.0,1
Angelo Stiller,de GER,MF,CAM,Stuttgart,de Bundesliga,23.0,32,31,2741,30.5,8,7.2,59,289,2219,2540,87.4,15,95,48,271,50,2781,39,20,30,69,3.64,0.33,1,1.8,21,4,0.05,0.25,49,27,26,29,50,4,0.262,0.236,1.934,9.475,72.754,83.279,0.492,3.115,1.574,8.885,1.639,91.18,1.279,0.656,0.984,2.262,0.033,0.059,0.689,0.131,1.607,0.885,0.852,0.951,1.639,0.131,2
Kevin Stöger,at AUT,MF,CAM,Gladbach,de Bundesliga,30.0,31,16,1551,17.2,3,5.3,54,121,847,1117,75.8,13,116,67,90,39,1318,40,17,36,95,6.15,0.46,3,3.9,24,9,0.04,0.11,37,21,16,24,26,3,0.174,0.308,3.14,7.035,49.244,64.942,0.756,6.744,3.895,5.233,2.267,76.628,2.326,0.988,2.093,5.523,0.174,0.227,1.395,0.523,2.151,1.221,0.93,1.395,1.512,0.174,2
Stoichkov,es ESP,"MF,FW",CM,Alavés,es La Liga,30.0,16,6,699,7.8,1,1.2,7,26,132,214,61.7,6,13,0,16,10,304,9,6,18,41,3.6,0.26,0,1.1,18,3,0.0,0.0,14,9,1,2,7,0,0.128,0.154,0.897,3.333,16.923,27.436,0.769,1.667,0.0,2.051,1.282,38.974,1.154,0.769,2.308,5.256,0.0,0.141,2.308,0.385,1.795,1.154,0.128,0.256,0.897,0.0,1
John Stones,eng ENG,"DF,MF",CDM,Manchester City,eng Premier League,30.0,11,6,548,6.1,0,0.1,2,21,367,403,91.1,0,0,0,42,0,442,10,2,2,2,1.31,0.33,2,0.4,2,2,1.0,1.0,6,2,4,5,19,1,0.0,0.016,0.328,3.443,60.164,66.066,0.0,0.0,0.0,6.885,0.0,72.459,1.639,0.328,0.328,0.328,0.328,0.066,0.328,0.328,0.984,0.328,0.656,0.82,3.115,0.164,0
Gabriel Strefezza,br BRA,"FW,MF",CM,Como,it Serie A,27.0,37,32,2619,29.1,4,3.9,57,106,875,1158,75.6,8,123,63,67,29,1483,80,36,82,190,3.82,0.14,6,3.7,58,21,0.1,0.29,57,39,13,24,26,0,0.137,0.134,1.959,3.643,30.069,39.794,0.275,4.227,2.165,2.302,0.997,50.962,2.749,1.237,2.818,6.529,0.206,0.127,1.993,0.722,1.959,1.34,0.447,0.825,0.893,0.0,1
Denis Suárez,es ESP,MF,CAM,Villarreal,es La Liga,30.0,21,7,608,6.8,1,1.5,14,35,228,291,78.4,0,25,11,21,8,358,27,10,17,24,4.14,0.44,1,0.9,10,3,0.1,0.33,12,8,3,4,3,0,0.147,0.221,2.059,5.147,33.529,42.794,0.0,3.676,1.618,3.088,1.176,52.647,3.971,1.471,2.5,3.529,0.147,0.132,1.471,0.441,1.765,1.176,0.441,0.588,0.441,0.0,2
Luka Sučić,hr CRO,MF,CM,Real Sociedad,es La Liga,21.0,29,21,1792,19.9,1,2.6,25,79,727,882,82.4,5,18,1,52,13,1094,30,25,53,56,2.76,0.25,1,3.3,43,11,0.02,0.09,25,18,15,30,16,1,0.05,0.131,1.256,3.97,36.533,44.322,0.251,0.905,0.05,2.613,0.653,54.975,1.508,1.256,2.663,2.814,0.05,0.166,2.161,0.553,1.256,0.905,0.754,1.508,0.804,0.05,1
Yukinari Sugawara,jp JPN,"DF,MF",CDM,Southampton,eng Premier League,24.0,30,16,1557,17.3,1,2.2,17,72,713,891,80.0,1,70,10,47,21,1066,33,9,20,78,2.25,0.06,1,0.5,14,5,0.07,0.2,31,18,11,21,53,3,0.058,0.127,0.983,4.162,41.214,51.503,0.058,4.046,0.578,2.717,1.214,61.618,1.908,0.52,1.156,4.509,0.058,0.029,0.809,0.289,1.792,1.04,0.636,1.214,3.064,0.173,0
Kamaldeen Sulemana,gh GHA,"FW,MF",CM,Southampton,eng Premier League,22.0,26,17,1402,15.6,1,1.0,10,27,285,357,79.8,0,26,0,6,13,587,63,39,103,87,1.93,0.19,1,1.5,29,8,0.03,0.13,22,17,6,16,9,0,0.064,0.064,0.641,1.731,18.269,22.885,0.0,1.667,0.0,0.385,0.833,37.628,4.038,2.5,6.603,5.577,0.064,0.096,1.859,0.513,1.41,1.09,0.385,1.026,0.577,0.0,1
Crysencio Summerville,nl NED,"FW,MF",CM,West Ham,eng Premier League,22.0,19,7,786,8.7,1,1.7,17,18,194,254,76.4,3,21,8,13,12,372,29,13,39,71,4.01,0.11,1,1.6,14,4,0.07,0.25,13,7,0,13,7,0,0.115,0.195,1.954,2.069,22.299,29.195,0.345,2.414,0.92,1.494,1.379,42.759,3.333,1.494,4.483,8.161,0.115,0.184,1.609,0.46,1.494,0.805,0.0,1.494,0.805,0.0,1
Tomáš Suslov,sk SVK,"MF,FW",CDM,Hellas Verona,it Serie A,22.0,31,27,2080,23.1,1,1.9,27,82,387,529,73.2,2,49,20,40,22,811,39,36,77,77,3.2,0.17,0,1.6,32,7,0.0,0.0,54,38,18,30,17,1,0.043,0.082,1.169,3.55,16.753,22.9,0.087,2.121,0.866,1.732,0.952,35.108,1.688,1.558,3.333,3.333,0.0,0.069,1.385,0.303,2.338,1.645,0.779,1.299,0.736,0.043,0
Suso,es ESP,"FW,MF",CAM,Sevilla,es La Liga,30.0,16,4,606,6.7,2,1.6,22,43,285,385,74.0,2,59,30,31,13,463,20,14,32,74,6.68,0.45,0,0.7,16,4,0.0,0.0,10,7,4,4,2,0,0.299,0.239,3.284,6.418,42.537,57.463,0.299,8.806,4.478,4.627,1.94,69.104,2.985,2.09,4.776,11.045,0.0,0.104,2.388,0.597,1.493,1.045,0.597,0.597,0.299,0.0,2
Mattias Svanberg,se SWE,MF,CM,Wolfsburg,de Bundesliga,25.0,20,14,1219,13.5,1,1.7,13,36,259,377,68.7,0,35,14,36,4,520,11,10,25,39,2.14,0.37,3,3.6,21,7,0.14,0.43,20,10,15,11,26,0,0.074,0.126,0.963,2.667,19.185,27.926,0.0,2.593,1.037,2.667,0.296,38.519,0.815,0.741,1.852,2.889,0.222,0.267,1.556,0.519,1.481,0.741,1.111,0.815,1.926,0.0,1
Williot Swedberg,se SWE,"FW,MF",CM,Celta Vigo,es La Liga,20.0,32,15,1348,15.0,5,2.6,16,28,266,363,73.3,4,18,0,16,12,562,34,10,44,116,2.4,0.53,4,5.2,32,15,0.13,0.27,23,16,3,12,10,1,0.333,0.173,1.067,1.867,17.733,24.2,0.267,1.2,0.0,1.067,0.8,37.467,2.267,0.667,2.933,7.733,0.267,0.347,2.133,1.0,1.533,1.067,0.2,0.8,0.667,0.067,1
Mamadou Sylla,sn SEN,"FW,MF",CM,Valladolid,es La Liga,30.0,29,17,1583,17.6,1,1.7,14,22,177,282,62.8,0,9,0,13,5,431,15,5,17,52,1.25,0.28,5,5.1,18,3,0.06,0.33,8,4,3,8,14,1,0.057,0.097,0.795,1.25,10.057,16.023,0.0,0.511,0.0,0.739,0.284,24.489,0.852,0.284,0.966,2.955,0.284,0.29,1.023,0.17,0.455,0.227,0.17,0.455,0.795,0.057,1
Sammie Szmodics,ie IRL,"FW,MF",CM,Ipswich Town,eng Premier League,28.0,20,13,992,11.0,0,0.2,5,19,149,201,74.1,0,14,6,11,4,318,16,4,12,47,0.91,0.0,4,3.4,21,12,0.19,0.33,16,10,6,10,14,0,0.0,0.018,0.455,1.727,13.545,18.273,0.0,1.273,0.545,1.0,0.364,28.909,1.455,0.364,1.091,4.273,0.364,0.309,1.909,1.091,1.455,0.909,0.545,0.909,1.273,0.0,1
Dominik Szoboszlai,hu HUN,MF,CAM,Liverpool,eng Premier League,23.0,36,29,2491,27.7,6,7.4,56,131,1114,1322,84.3,5,41,17,88,33,1584,72,21,41,127,4.3,0.58,6,7.3,67,22,0.09,0.27,38,20,9,39,19,2,0.217,0.267,2.022,4.729,40.217,47.726,0.181,1.48,0.614,3.177,1.191,57.184,2.599,0.758,1.48,4.585,0.217,0.264,2.419,0.794,1.372,0.722,0.325,1.408,0.686,0.072,2
Musa Al-Taamari,jo JOR,"FW,MF",CM,Montpellier,fr Ligue 1,27.0,15,12,1116,12.4,1,1.5,12,30,235,304,77.3,1,14,1,12,12,470,55,23,71,76,2.82,0.4,2,2.6,27,11,0.07,0.18,14,10,3,2,3,2,0.081,0.121,0.968,2.419,18.952,24.516,0.081,1.129,0.081,0.968,0.968,37.903,4.435,1.855,5.726,6.129,0.161,0.21,2.177,0.887,1.129,0.806,0.242,0.161,0.242,0.161,1
Musa Al-Taamari,jo JOR,"FW,MF",CM,Rennes,fr Ligue 1,27.0,11,7,567,6.3,0,1.3,10,8,108,132,81.8,0,6,0,5,3,206,21,7,20,39,3.5,0.16,1,2.4,14,3,0.07,0.33,4,1,2,5,2,0,0.0,0.206,1.587,1.27,17.143,20.952,0.0,0.952,0.0,0.794,0.476,32.698,3.333,1.111,3.175,6.19,0.159,0.381,2.222,0.476,0.635,0.159,0.317,0.794,0.317,0.0,1
Adrien Tameze,cm CMR,"MF,DF",CDM,Torino,it Serie A,30.0,20,9,649,7.2,0,0.8,6,23,259,301,86.0,0,9,0,10,6,368,16,4,15,21,1.11,0.0,0,0.4,7,3,0.0,0.0,5,2,10,8,8,1,0.0,0.111,0.833,3.194,35.972,41.806,0.0,1.25,0.0,1.389,0.833,51.111,2.222,0.556,2.083,2.917,0.0,0.056,0.972,0.417,0.694,0.278,1.389,1.111,1.111,0.139,0
